	g__Bacteroides	g__Prevotella	g__Faecalibacterium	g__Megamonas	g__Ruminococcus	g__Clostridium	g__Roseburia	g__Blautia	g__Parabacteroides	g__Lachnospira	g__Sutterella	g__Coprococcus	g__Dialister	g__Oscillospira	g__Dorea	g__Phascolarctobacterium	g__Veillonella	g__Anaerostipes	g__Streptococcus	g__Eubacterium	g__Paraprevotella	g__Megasphaera	g__Haemophilus	g__Alistipes	g__Collinsella	g__Bifidobacterium	g__Butyricimonas	g__Fusobacterium	g__Odoribacter	g__Turicibacter	g__Bilophila	g__Lactobacillus	g__Sarcina	g__Acidaminococcus	g__Holdemania	g__Actinomyces	g__Acinetobacter	g__Eggerthella	g__Sphingomonas	g__Granulicatella	g__Klebsiella	g__Lachnobacterium	g__Oxalobacter	g__SMB53	g__Pseudomonas	g__Atopobium	g__Neisseria	g__Actinobacillus	g__Desulfovibrio	g__WAL_1855D	g__Escherichia	g__Delftia	g__Porphyromonas	g__Rhodoplanes	g__Morganella	g__Parvimonas	g__Nitrosotalea	g__Microbacterium
g__Sutterella	-0.0701856180544406	-0.264577382277786	-0.488194692594408	0.0279223770942758	0.33323697227326	0.148527402804277	-0.808530183782156	0.551336104155806	-0.203200330948512	-0.631073496582379	1	0.469381571300642	-0.221465131461677	-0.13500546334535	-0.321382438618958	-0.0196756161401861	-0.438904753316623	0.219327950586348	0.316367456231533	0.31121497846583	0.416491412700699	-0.20575518175323	-0.362441092183044	0.252442266524438	0.363183026521659	-0.0881999685025799	0.168276787477213	0.157613152126987	0.547059165424801	0.0909920861025938	-0.3593742358221	-0.328804998159772	0.289982839047945	-0.0143663212921237	-0.373759075224071	0.1641796021361	0.70513906752408	-0.216305472925763	0.140231647606036	0.324395191758335	-0.352141131973115	0.199864240960549	-0.0840390173472962	-0.165747777667997	0.435592868491198	-0.179020917804677	-0.156366475330628	-0.319144255512801	0.182232657302716	0.161906931118641	-0.481839569358705	0.482782131660503	0.181873360330063	0.362745552245737	-0.776934261892856	0.24064580733951	-0.550651228432651	-0.213621827720817
g__Coprococcus	-0.445422607257103	0.520160443580789	-0.798576480579231	-0.135971782300492	0.231115574159213	0.175530147041953	-0.806345845760793	0.535207959135121	-0.673824779413301	-0.0526988009783397	0.469381571300642	1	-0.471042700716367	-0.177053389550597	-0.093294329859624	0.346499644303581	-0.427894142579669	-0.245448535396312	-0.10626486938658	0.525654460051302	0.759862194905944	-0.510906685068121	-0.6832748830049	0.0963129376977411	0.370820500760263	-0.709500059121987	0.399043247235365	-0.606806329032283	0.483642364246895	0.126372503754137	-0.308027100092964	-0.138240652099587	0.360893014691092	-0.115771827298329	-0.139846543228506	-0.205367705696401	0.673686023248704	-0.696427683701798	-0.235952122856424	-0.0361159052030664	-0.483168645721994	0.335740240475491	0.648211685779905	-0.461770159311325	0.650573387304806	0.0793040880572767	0.207434629572703	-0.219466431111759	0.360762001096421	0.0476923582434167	-0.579142514322614	0.094474937052579	-0.243671342356908	0.297265372003053	-0.198120235984826	-0.0560735944592846	0.117342558784711	-0.689177580880123
g__Dialister	0.248816694084217	-0.314713289479144	0.601670541523761	0.326207575714219	0.418988971745014	0.164349476000701	0.69266939217373	-0.596882369746969	0.451254973120677	-0.0176482146226553	-0.221465131461677	-0.471042700716367	1	0.062202529481178	0.087092667862658	-0.759381329213247	0.43528353474178	0.515898059852875	0.15768719589	0.252122057979475	-0.379543202402914	0.146305214851009	0.133343693817812	0.165159124058066	-0.124010845662119	0.458798004486111	-0.775412902229479	0.153923677933835	-0.390186889513845	0.251434583718124	-0.0576458318971483	0.430408283000474	-0.118129332872568	0.0254202528884452	0.474025831120729	0.431281832415181	-0.202849811341201	0.0856738966074447	0.126595756821129	-0.18676827662158	0.0837505387302799	-0.587040787422654	-0.47117156060432	0.603270220918649	-0.438599174820485	-0.178977548810083	0.104576947904611	0.00369618792694287	-0.0537475335142473	0.529313663697558	0.354805896942984	-0.0986729568408017	0.173694795195703	0.0603334527482406	-0.107769401968558	-0.10663229816464	0.193624801281251	0.406659433543343
g__Oscillospira	0.175859163502509	0.276719232714621	-0.281792759841577	-0.77199700211274	-0.648850022837558	0.24485800151664	0.00421016889391106	-0.177968681658529	0.675892904773229	-0.171468546964923	-0.13500546334535	-0.177053389550597	0.062202529481178	1	-0.456543264580373	0.109499842727591	-0.677274155511411	0.163334063484097	-0.810374709448639	0.307978005983472	-0.0127999517605893	0.280286280152601	-0.573536484538508	0.525410698600153	0.338783057777638	-0.406363180071964	0.445821515351119	0.151171430347592	0.488190019853178	-0.572262951474639	0.644294813902051	-0.728862861457566	-0.483869580955114	0.0543938985318626	0.524414087981371	-0.342248149880354	-0.453336039614585	0.614022595830428	-0.321853314632401	-0.473798295291936	0.21238523641302	0.404681983677064	0.325516949267303	-0.145581588840242	-0.66888595213359	-0.490703896037987	-0.591092472415163	0.395923386772665	0.292810686646637	0.0886980456707736	0.107995930607324	-0.51600284403696	0.141560012064294	-0.518068637843736	0.164561317884623	-0.514333465451651	0.290528602073512	0.294695870306052
g__Dorea	-0.535881427296625	0.300524819631234	0.177468553278998	0.663128566813327	0.278677260616636	-0.202877080909374	0.2789931668718	-0.205324947875181	-0.569973883972157	0.672949029990531	-0.321382438618958	-0.093294329859624	0.087092667862658	-0.456543264580373	1	0.0548594898280447	0.526507977187321	-0.351863539649965	0.414138829038771	-0.268728688392872	0.140977204952405	0.581572065117058	0.659154240908354	-0.739746894615642	-0.111968798389887	0.205094213640471	-0.182679470228166	-0.0493366102127941	-0.62342361013309	0.366547292999525	-0.48956943848635	0.365260599831931	0.310516141756269	0.178391419416784	-0.438155294622213	0.314342755389201	-0.0796819765645948	-0.14544849524543	0.15845483767302	0.36773128341586	0.212323070682429	-0.410273455338141	-0.280421961229071	0.399783592585063	0.323642979157967	0.969996925841639	0.688855902179209	0.0808476738252922	-0.556697721268569	-0.0320022369003385	0.0212110869016731	0.0167487401649661	-0.322971187767205	0.129750405736878	0.441280735426217	-0.247727367564316	0.016669008605635	-0.112778177108733
g__Phascolarctobacterium	0.0881963065712636	0.397465396527436	-0.346672117256728	-0.369464389856515	-0.355413832447964	-0.189969728119683	-0.148516865795955	0.436474399542403	-0.0739603779186596	0.0567831420682536	-0.0196756161401861	0.346499644303581	-0.759381329213247	0.109499842727591	0.0548594898280447	1	-0.126812273102476	-0.51647799951197	-0.0740830681269633	-0.150329119114924	0.389972178073803	-0.113467155950222	-0.0212961493784829	0.122630683099961	-0.148811771152696	-0.230239799113117	0.805863021284884	-0.229505604707388	0.502943504859836	-0.285619425462048	0.490959266704779	-0.0653444167073227	-0.0613161962627489	-0.374740388386543	-0.341387009786753	-0.17948563337981	0.0346300521136149	0.164855050754617	-0.00561911924210544	-0.00531168431576641	0.2185784991539	0.539768488510494	0.511656101500047	-0.381428924925648	0.222948868163569	0.186373791612528	-0.136068006059917	0.0966097699985714	0.0493322878495111	-0.721740116286689	-0.0018228331809084	0.0576958918587879	-0.383485820815429	0.0855343176987196	0.448402088588636	0.115046642355551	0.269937535770999	0.0247998571745555
g__Veillonella	0.0944318171850081	-0.315907673172412	0.763520175574994	0.745767149794351	0.505280463123362	-0.275782645744539	0.711488402872241	-0.366674288997316	-0.144738493015549	0.344979690143298	-0.438904753316623	-0.427894142579669	0.43528353474178	-0.677274155511411	0.526507977187321	-0.126812273102476	1	0.0266917139959935	0.613412836965415	-0.384734617271242	-0.174574861969798	0.100239931816978	0.736416326266376	-0.387046048067342	-0.707721450308051	0.71925332337794	-0.549451620604124	0.114774759136613	-0.674248545286916	0.454423098117085	-0.274877608834338	0.850150365823639	0.338951893613667	-0.0815694939630596	-0.189905565122505	0.164728110974423	-0.0767934996332044	-0.209005245442916	0.32531444468729	0.0382741033570801	0.213700108377985	-0.415284492921744	-0.438869703141442	0.531520032238912	0.00140061129775729	0.459559016766328	0.41566312429495	-0.188351804565308	-0.361650748713082	-0.109967210187087	0.29786487038579	0.109646447410015	-0.196688219674038	0.39086054555751	0.224735042123736	0.314552276948453	0.0961223236842005	0.220117629396513
g__Anaerostipes	0.734224800297924	-0.711403649894946	0.507942004513873	0.275095943284043	0.44292457030308	-0.335741821709691	0.305122303310308	0.276178210523711	0.551403418121476	-0.057103615116017	0.219327950586348	-0.245448535396312	0.515898059852875	0.163334063484097	-0.351863539649965	-0.51647799951197	0.0266917139959935	1	-0.187596833327335	0.334802919740869	0.0757062298948248	-0.0164675896149501	-0.0857688932114338	0.145212103274335	-0.206422313914113	0.490749967022342	-0.217934625154089	0.332922631267561	0.0318637932416297	-0.364125079406378	0.2401424048993	-0.221309256279471	0.22170064317547	0.341215966868924	0.431828115602341	-0.190390305995528	0.321628099759887	0.0611644946334242	0.573801910150148	-0.125735332019361	-0.496430189486024	0.0118244072578568	-0.117463200574538	-0.159419888401679	-0.478331016074416	-0.393611878947975	0.0254940137491049	0.401396582528844	-0.117665914195452	0.156274209030851	-0.329203876220234	0.198628648152914	0.388911748480136	-0.211853049776478	-0.58265267769069	-0.0989763698970313	-0.141879987844454	0.0129991838783294
g__Streptococcus	-0.295094676651673	-0.316994138886457	0.193638577500893	0.666808514757325	0.538944287889433	0.0506829040112048	-0.0626437601474822	-0.185928038926399	-0.451256774034545	-0.240930390394347	0.316367456231533	-0.10626486938658	0.15768719589	-0.810374709448639	0.414138829038771	-0.0740830681269633	0.613412836965415	-0.187596833327335	1	-0.352283159279104	-0.0565130894099052	0.0787311080311176	0.5473999160762	-0.243039930714129	-0.256727127126285	0.517960733994104	-0.433464758735003	0.234655383116182	-0.31942972080908	0.758673082566094	-0.726376197319187	0.630278685742631	0.405982956149755	-0.203838662078562	-0.658318288769546	0.516589205521731	0.255211895928621	-0.283722075472674	0.177530920437612	0.433979234721162	0.243035785729733	-0.352707382870968	-0.640051025944013	0.586074631957179	0.503917144334811	0.469837344509739	0.200187617874927	-0.642232541339026	-0.209685403015976	0.0430323223661495	0.123357643722348	0.37243406183745	-0.13483659690794	0.740001133216004	-0.221403214561749	0.454377842920428	-0.527120678048046	0.159704872346296
g__Eubacterium	0.1203330807315	0.21837774223232	-0.40276470060492	-0.195341463392336	0.324965568260588	0.0525795625307601	-0.171124840303226	0.16714194305411	0.0749893837254175	-0.144983868972532	0.31121497846583	0.525654460051302	0.252122057979475	0.307978005983472	-0.268728688392872	-0.150329119114924	-0.384734617271242	0.334802919740869	-0.352283159279104	1	0.589798600451114	-0.319127974108285	-0.783877221433981	0.449677867975404	0.212047396921558	-0.354643560754271	0.0245979408976169	-0.493504403449149	0.485727730045648	-0.266053313085359	0.174289804540939	-0.15629989398138	-0.0498858553769777	-0.225046194470584	0.336015286515831	0.0182803256676768	0.415586914544885	-0.273489478211302	0.0234361603884898	-0.301547585348798	-0.405636415314979	-0.0223727207008414	0.366042757929819	-0.265732365493267	-0.0840294189245828	-0.274556680721326	0.0873450852259671	0.110740497261165	0.198581959291161	0.209301084875618	-0.422566580214797	0.00605974760820649	-0.278823260115952	0.0758489648432812	-0.290626384588353	-0.441012221988498	0.428174249249392	-0.170378200162172
