	g__Acinetobacter	g__Afipia	g__Akkermansia	g__Anaerostipes	g__Bacillus	g__Bacteroides	g__Bifidobacterium	g__Bilophila	g__Blautia	g__Bosea	g__Bradyrhizobium	g__Butyricimonas	g__Caloramator	g__Campylobacter	g__Catenibacterium	g__Clostridium	g__Collinsella	g__Coprococcus	g__Corynebacterium	g__Desulfovibrio	g__Dialister	g__Dorea	g__Enterobacter	g__Enterococcus	g__Eubacterium	g__Faecalibacterium	g__Fusobacterium	g__Haemophilus	g__Jonquetella	g__Lachnobacterium	g__Lachnospira	g__Lactobacillus	g__Megamonas	g__Megasphaera	g__Methylobacterium	g__Micrococcus	g__Mobiluncus	g__Neisseria	g__Odoribacter	g__Oscillospira	g__Paenibacillus	g__Parabacteroides	g__Paraprevotella	g__Peptoniphilus	g__Peptostreptococcus	g__Phascolarctobacterium	g__Phyllobacterium	g__Prevotella	g__Propionibacterium	g__Pseudomonas	g__Ralstonia	g__Roseburia	g__Ruminococcus	g__Salmonella	g__Shewanella	g__SMB53	g__Streptococcus	g__Sutterella	g__Veillonella
g__Bradyrhizobium	-0.08399887647409	0.387737821221253	0.0577095431242257	-0.0711299232878151	0.466808416730804	-0.199520769046842	0.0266274786282529	-0.240874064847874	0.173539814046996	0.143399188212552	1	-0.2027782834239	0.213422178550574	-0.110180064011248	-0.0209017748028545	0.146797489696263	-0.0641727749007511	0.072287178501013	0.111244736129527	-0.235646354087065	0.120210821705129	-0.124136965783414	-0.113029646129305	-0.0360597890999126	-0.0803005199682666	-0.317842539277109	-0.101542753466565	0.104416581047638	-0.0568976304928356	-0.0777758149276066	0.0980167236905149	0.106699280745114	-0.385074752978813	-0.125417209036827	0.431590272804371	-0.0822097589358769	0.036183226618561	-0.00806101621713504	-0.0930299611317406	-0.0952801267151364	0.170785435052851	-0.0019351770625958	-0.0561486176858217	-0.444335237099691	-0.208034788315373	-0.0870497229811616	0.401637976556814	-0.196559297951951	0.502966636829819	0.240824136853778	0.17668181337403	-0.0787539864663447	-0.265861463243418	0.139052189477805	0.00920991423635774	-0.274307508638307	0.0138391188119181	0.0183469876247274	-0.0622220514304625
g__Butyricimonas	0.144816293524149	-0.101940276860476	0.0156147236957931	0.0948036612509755	-0.250147322259507	0.323651726126003	-0.139656791071283	0.128686693038302	-0.134488483754739	0.0276883663911541	-0.2027782834239	1	0.0771671406390941	-0.110724546403653	-0.134217541507604	0.128509557303878	-0.0722826279979836	-0.0444870444727575	0.120064632967041	-0.139838325127207	-0.218750406927103	0.0909302199427271	0.130509984427376	-0.07486860614334	-0.0511962612577546	0.212025865176092	-0.00546602289516245	-0.0851880872113856	0.0852404912554702	-0.120442199466679	-0.127801453596959	-0.0238743715564666	-0.0826677259803399	0.0392188493359299	0.0434404099213739	-0.0570634581917943	0.315075327227422	0.0545134184704771	-0.0513547168559545	0.121573043830144	-0.108619686832873	-0.234392759763934	0.000734022130188947	-0.149022103245509	-0.0292651072642869	0.119153972088133	0.0116452561749957	0.123591035221851	0.145115932943422	0.146805380831168	0.141195193932843	0.158139391747501	0.186291535843426	0.182676499783194	-0.107758231096552	0.112693594835732	-0.0632717775943164	-0.266520125033323	-0.141916977776642
g__Caloramator	0.311988022727988	0.307500832145519	0.0128597028312315	-0.0510811136789202	0.203582772806958	-0.211941216179122	0.046251022776636	-0.155924245247334	-0.317083512891531	0.100385292661156	0.213422178550574	0.0771671406390941	1	-0.214804398223191	0.0420699051218654	-0.230112681445841	-0.274210047447535	-0.135686241061029	0.23403851194397	-0.0195714210652556	-0.0907679589181966	-0.103196179052612	-0.0783954936218989	0.226504657199539	0.114135458788792	0.0472208265836992	0.0325928909253054	0.0153424092308198	-0.2097796115577	0.025806099954945	-0.193051432788513	0.270707517233084	-0.0537783608086594	-0.268489371169358	0.28376040978911	0.102770146593934	0.0640105729740615	-0.0462129657970788	-0.198527758341849	-0.16640907712898	0.102434571490262	-0.275818800501766	-0.124691801972611	-0.125658723784541	0.257955609671298	0.0540264084316043	0.304841296407423	0.163494655265372	0.612047558071793	0.218982230835367	0.124666804043725	-0.371126740859069	-0.141962504887031	0.321151194423109	-0.0543247321733872	-0.151094993353186	0.0742118089427424	-0.193723843615305	0.106817020743151
g__Campylobacter	0.12276605602983	0.142785654136509	0.10174184907217	0.00890427312429171	0.154282280966913	-0.102773679919303	-0.202404262122139	0.30179465435794	0.127264550901082	-0.00364427579660032	-0.110180064011248	-0.110724546403653	-0.214804398223191	1	-0.29093869075395	-0.130101500803599	-0.309943204396865	0.0756089425707756	0.319360033224288	-0.0301175435849005	0.228907294840318	-0.187756390072175	-0.169395067099784	-0.213436872825406	-0.318116046176406	-0.231522995098883	0.469815003451359	-0.147921742433423	0.25178837043409	-0.039660861092122	-0.0920901233163204	-0.369258494780733	0.0857231897477215	-0.145330511443356	0.0822540677643975	0.191130305025964	0.218556830936441	-0.0770263732467869	-0.0335146924618719	-0.0152690743854731	0.219545198996318	-0.0604692466562708	0.0686397765757826	0.4142984803838	0.284285141437187	-0.118629977417988	-0.0048476184291538	0.314414693030978	-0.0528901622690849	-0.0722886013414558	-0.219039765553805	-0.151819660375851	-0.186612568738376	-0.106812704419989	-0.204807392361561	-0.175892553634058	0.422851361642847	-0.0611932557843465	0.246220124265148
g__Catenibacterium	0.0886427702821379	-0.311703097588319	-0.0569176790439452	0.0508763958836542	-0.327159636826872	-0.231798178991919	0.169335387961787	-0.199204898173967	0.0047967928686008	0.109802173932541	-0.0209017748028545	-0.134217541507604	0.0420699051218654	-0.29093869075395	1	-0.0167144282032419	0.0933331085128422	0.0351928799107484	-0.319856134139901	0.422846046822465	0.027716404147079	-0.0248242562391536	-0.0991661397242651	0.255221606997505	0.363154547107254	0.0829731460115968	-0.18562425481779	-0.0313182910182872	-0.0300249327743428	0.436748708922081	0.152648564999793	0.0263334315449276	-0.165874372320071	0.389991128527351	-0.222736444300344	0.215455146050288	-0.216984065111998	-0.203989911504477	0.16971292643666	-0.332145063465081	0.135348029601986	0.00654035300282389	-0.213552407025707	-0.230139746593923	-0.0203567244853077	0.136272414653906	-0.100141711295307	-0.12419749220969	-0.0602765019176445	0.0530471423228199	0.0997583212286712	0.0812716329925749	0.0741125214822741	-0.14511952519093	0.145075692287461	0.145856886727268	-0.0628209191036581	0.332673282997786	-0.165022521887009
g__Clostridium	-0.347491909799853	0.100788452528358	0.0851143457928507	0.221825447400704	-0.103604241676067	0.345936772753579	0.172690101510787	0.149970760830988	0.198797653234662	-0.161962291136742	0.146797489696263	0.128509557303878	-0.230112681445841	-0.130101500803599	-0.0167144282032419	1	0.203537465721823	0.0965702375287771	0.0663118858266902	-0.126817073718789	-0.182018546402691	0.303999172524981	0.0124774517824034	-0.0367378047955357	0.0386277343013824	0.437889668299256	-0.190759907362583	0.197306715318511	0.114186291021476	0.00327050235404353	0.161702416722386	-0.0663270868596115	-0.212186694461847	0.102512629448489	-0.118163736654754	-0.534025690262332	-0.274915881714637	0.133188343546975	0.110087743614748	0.403244363689322	-0.00430292415660798	0.448475632536318	0.125944809236477	0.0222822832135285	-0.337939753531227	0.266301659091843	-0.209294136266127	-0.124824253809969	-0.135203002072091	-0.0692415078490861	0.152982045397739	0.311647941362934	0.00471837722887936	-0.00787698193740509	0.111127331602336	0.146455023862152	-0.349412872246906	0.12308415627715	-0.0276822893779223
g__Collinsella	-0.119593914694863	-0.100908541598797	-0.0781097946448207	0.181134166565797	-0.0542418933853074	0.226553944029118	0.268750948805704	-0.0883509590930751	0.355301792101087	-0.140249654181695	-0.0641727749007511	-0.0722826279979836	-0.274210047447535	-0.309943204396865	0.0933331085128422	0.203537465721823	1	0.332725870886374	-0.368168065817558	0.0865272295739054	0.114552020157449	0.31628050357804	0.0308613761978707	-0.0413669213711561	0.100855755086682	0.323268081815352	-0.174620920532818	0.186204681190206	-0.00531402156448186	0.23789295940982	0.447908464855248	0.0885735994827559	0.211279984684818	0.132930721674204	-0.186920287828256	-0.08603745901521	-0.211078089489956	-0.00490043773365152	0.14324037039552	0.259749469699194	-0.336323890663702	0.161126819112733	0.0182662766235925	-0.0343223393797024	-0.0603876013620511	0.0194220200767603	-0.319758837798347	-0.203849156149094	-0.360314408543871	-0.329815724136946	0.141830894787176	0.388905214053795	0.292595960390336	-0.192850814526066	0.26270142098193	0.240755100787523	-0.117626747670471	0.331038957250606	-0.309943646752442
g__Coprococcus	0.00985152713838515	-0.086171381861825	0.0723638391149767	0.312785338798647	0.0625111728197608	-0.00807598384449741	-0.0248066139105832	-0.187982836558307	0.618142060722866	0.0604316067107762	0.072287178501013	-0.0444870444727575	-0.135686241061029	0.0756089425707756	0.0351928799107484	0.0965702375287771	0.332725870886374	1	-0.201623077922122	0.0501959823304044	0.173210186030458	0.170950046305615	-0.174561589776588	-0.088077368629619	-0.0370775579890214	-0.00278590275001789	-0.292374911462182	0.161029585087662	0.0715086488729979	0.0894697125293262	0.207754062056473	0.0234905344167834	-0.0216589855327163	-0.0474294402674102	-0.0191098636333991	0.00416696383758891	-0.164108478170922	-0.0285677463052611	0.00565387255079516	0.150362517665959	0.043326888825682	0.142262685927283	-0.0431667565780607	-0.0816638667297151	-0.261012447248083	0.066364989915433	-0.198645874592828	0.0464068354823295	-0.0106839277189581	-0.440849997492191	0.13790755904354	0.0259904942619804	-0.050883258374291	-0.288686220574898	0.0983105455858438	0.256266623169691	0.196686116292859	-0.108691383907712	-0.0268203485530753
g__Corynebacterium	0.0640246834419155	0.372029155279186	0.148181867933747	-0.0118041235928341	0.243497339245351	-0.0707028032128845	-0.239208225620887	-0.0682910738604827	-0.172697271508558	-0.0877429619827348	0.111244736129527	0.120064632967041	0.23403851194397	0.319360033224288	-0.319856134139901	0.0663118858266902	-0.368168065817558	-0.201623077922122	1	-0.0884074218939875	0.0117374127335198	-0.137586171655394	0.139283330524675	-0.245164837907656	-0.498615084285592	0.130680379174335	0.241228917093477	-0.0142521278025848	0.231128436838236	-0.194542420926078	-0.418939017601166	-0.0601544463997254	0.0376057779826258	-0.264468381154154	0.174229318752284	-0.0876659348506571	0.0874351754322672	0.121434030150666	-0.285611672319956	0.226755068827313	-0.111150831163635	-0.291994086134758	0.0533909642349876	0.0141187696238754	0.25352299874421	0.105697611606822	0.191394344579352	0.27535571397768	0.268189056061319	0.126339868897573	-0.187880623515531	-0.177150225990496	-0.0907755002519329	0.443614581585838	-0.150169386864412	-0.186915598031866	0.2199228084642	-0.0831539106964259	0.280678129927511
g__Desulfovibrio	-0.121777568263848	-0.256457556105893	0.0678780174212605	-0.115993977615507	-0.0403860388122994	0.185362927250919	0.144912270257296	-0.0596508664604529	-0.0164310987458016	-0.0643960850608297	-0.235646354087065	-0.139838325127207	-0.0195714210652556	-0.0301175435849005	0.422846046822465	-0.126817073718789	0.0865272295739054	0.0501959823304044	-0.0884074218939875	1	0.121463894591798	0.135133695497632	0.205071084589433	-0.0129977209782652	0.445348854250771	0.0613110929017915	0.179365735647097	-0.240805211742174	-0.168253748500516	0.253452655751803	-0.0793724629063964	-0.176014038214351	0.256023767493579	0.0631265099384315	-0.054031681285595	0.202032634659841	-0.205725061695784	-0.263016012206278	0.0726864889998289	-0.127005326180497	0.00283398508189021	0.00804562901950379	-0.0781456021552703	0.049214586381762	0.178950701792949	-0.125864839281497	-0.172480755387144	0.0205350595879728	-0.153343497488718	-0.103603492667993	0.0116039424611244	-0.0130593147851453	0.037130764064606	0.162448055075139	0.00228725464416304	-0.0729926578609407	-0.0640956601308263	0.375786098477068	-0.248892848972437
