ID,logFC,P.Value
g425,-0.6773231475,0.0072135014
g426,0.8085235639,0.0070463215
g427,1.1817393177,0.0075661087
g428,0.6267049275,0.0071189659
g429,0.7935877216,0.0076547527
g430,0.6028877701,0.007102307
g431,0.6509639523,0.0071593914
g432,0.6304621441,0.0077458439
g433,-0.6685729825,0.0071874283
g434,-0.7302324274,0.0076597039
g435,-1.1266315238,0.0077352993
g436,-0.988060306,0.0078191487
g437,0.6756675168,0.0078083558
g438,-1.1957435717,0.007265846
g439,0.5404826373,0.0071903127
g440,0.6720095697,0.00736032
g441,-1.6476623729,0.0078682158
g442,-0.6735870397,0.0075642818
g443,-0.6951902143,0.0078503555
g444,1.2220986254,0.0073833102
g445,1.2878810021,0.0080775796
g446,-0.545039158,0.0074561892
g447,-1.3460539282,0.008087998
g448,-0.7408268246,0.0080653049
g449,-1.2514441473,0.008043213
g450,0.4870192222,0.0077015103
g451,0.6105084527,0.0075486391
g452,0.833497592,0.0082687182
g453,0.9866813761,0.0079812691
g454,-2.412503777,0.0083052685
g455,0.5791996345,0.0076003495
g456,-0.5091498813,0.007850696
g457,-1.493287642,0.0083638951
g458,-1.6816394449,0.008358342
g459,-0.7080932875,0.0080052033
g460,-0.9892367632,0.0082550817
g461,-0.9884679544,0.0078845606
g462,0.7706377688,0.0079415669
g463,0.83119905,0.0077201271
g464,-1.2547529528,0.008216108
g465,-0.8467719763,0.0083590629
g466,-0.7709642543,0.0084704119
g467,0.6503221865,0.0077594071
g468,-1.0835525815,0.0080594379
g469,-0.6069345312,0.0082510176
g470,-0.7376780521,0.0086050025
g471,-0.848973981,0.0083504169
g472,-0.8197411048,0.0087289809
g473,0.8606131138,0.0082923391
g474,0.5785302289,0.0081490066
g475,-0.9745592918,0.0085349817
g476,-0.9744134846,0.0088113011
g477,0.7484357755,0.0084885908
g478,0.5034634004,0.0083044602
g479,-0.7779157726,0.0086642419
g480,-1.2685293183,0.008320856
g481,0.8506039915,0.0083535309
g482,0.8116822166,0.0081036842
g483,-0.8439656542,0.0089635267
g484,0.6780990342,0.0082996431
g485,0.5510729265,0.0081658511
g486,-0.7179022618,0.0090781441
g487,-2.1325379242,0.0090434598
g488,0.6682993179,0.0082622588
g489,-1.1949731782,0.00908173
g490,-1.1552034224,0.0091110007
g491,0.5009841422,0.0082546892
g492,1.0430184359,0.0083144317
g493,0.7227609638,0.008378525
g494,-0.75972812,0.008413183
g495,-0.5039928869,0.0085407051
g496,-0.6495570944,0.0086285598
g497,0.5462880753,0.0084781285
g498,-1.7167808462,0.0092187735
g499,0.5710316836,0.008779665
g500,-1.2535298819,0.0090174414
g501,-0.6800052194,0.0086339145
g502,-0.9738912453,0.0092266079
g503,-0.7361613193,0.0092056472
g504,-1.1622385617,0.009036659
g505,-1.1034070827,0.0094113135
g506,-2.2111024124,0.0087746918
g507,-0.6161602166,0.0091369563
g508,0.9689140119,0.0093078086
g509,-2.0750813028,0.0091000427
g510,-0.8581196988,0.0095415423
g511,-1.0446459214,0.0096628767
g512,-1.2389704844,0.0096522874
g513,1.9506582824,0.0088130404
g514,1.1640251178,0.0096664033
g515,-0.808174464,0.0092514918
g516,-1.3300234693,0.0096467627
g517,1.4022894154,0.0089850113
g518,-0.4664072979,0.0089406049
g519,-0.9097085285,0.0097268992
g520,-0.6159293356,0.0091571956
g521,-1.9530365258,0.0097713739
g522,-1.149596319,0.0097669927
g523,0.6223113313,0.0088025282
g524,-1.3733904953,0.0092918031
g525,-0.596115151,0.0093407554
g526,-1.2237465023,0.0098580302
g527,1.2617393239,0.0090010377
g528,0.8279439903,0.0095361732
g529,-0.9574529255,0.0093688062
g530,0.6112569809,0.0090703815
g531,-0.6831926061,0.0097090232
g532,-0.6575842532,0.0095543536
g533,-3.2327513414,0.0094181594
g534,-0.7396386231,0.0094645852
g535,-0.8707246912,0.0094847505
g536,-0.9050783235,0.0100360001
g537,-0.9130496893,0.0101082681
g538,-0.7210052721,0.0092158858
g539,1.6378087731,0.0101458153
g540,2.3152047568,0.0101127971
g541,-0.5047374016,0.0094577204
g542,0.6355335611,0.009908094
g543,0.9188208518,0.0092267838
g544,-0.6635527608,0.0097837294
g545,0.6179721367,0.0092201914
g546,0.5627282965,0.0092940089
g547,0.9943723487,0.0099194884
g548,0.7586081223,0.0092795702
g549,0.5516500716,0.0096458052
g550,-0.8728108888,0.0100433083
g551,-0.6926676992,0.0100082099
g552,0.764112855,0.0093595524
g553,0.4618987125,0.0093909189
g554,-0.5522525825,0.0094922815
g555,1.8745734894,0.0100081526
g556,-0.7360085622,0.0105889138
g557,1.6942238351,0.0105829792
g558,1.4426200263,0.0106239177
g559,-0.9561430871,0.0100722925
g560,1.0949919425,0.0104709214
g561,-0.7994308388,0.0105330672
g562,0.6517258412,0.0096466971
g563,-0.782289983,0.0106224125
g564,0.829429566,0.0100490819
g565,-0.6341432193,0.0096385115
g566,0.6306948008,0.0101600264
g567,-0.7324392056,0.0101942774
g568,0.9359631662,0.0104283048
g569,1.3983320025,0.010772563
g570,0.489775064,0.0096597567
g571,-1.0524413583,0.0107155123
g572,1.8837580868,0.0107414787
g573,-2.1003023971,0.0106815452
g574,-0.8227885361,0.0102565746
g575,-0.8362583112,0.0108786701
g576,1.9653956319,0.0099169045
g577,-0.8283463471,0.0108405087
g578,0.6396543379,0.0104524251
g579,1.0004596453,0.0104368577
g580,1.4638172926,0.0108957819
g581,1.0760126044,0.0099610143
g582,-0.6149015364,0.0109440679
g583,0.5061532793,0.0103683981
g584,0.672847966,0.010327551
g585,-1.0246727516,0.0112818851
g586,-0.7117930194,0.0102172716
g587,-1.3617957467,0.0113540386
g588,0.5181612501,0.0100804956
g589,0.5038886347,0.0102683096
g590,-0.7315313606,0.0110438057
g591,-0.6689152799,0.011101654
g592,-0.8296056314,0.0113772214
g593,-0.9992897324,0.011359026
g594,-1.0883661831,0.011427906
g595,-1.2339055144,0.010787445
g596,1.1815964133,0.0110973071
g597,0.7739463903,0.0101454492
g598,0.7784824759,0.0101630099
g599,0.5214468233,0.0102570452
g600,1.2100369482,0.0112602774
g601,0.51079303,0.0102460208
g602,-0.5993119192,0.010518464
g603,-0.9351921516,0.0112461283
g604,-0.826372913,0.0114757681
g605,-0.6769252792,0.0104345902
g606,-1.1440836693,0.0115815945
g607,-1.9884290768,0.0115247985
g608,1.1911172323,0.0110246189
g609,-0.8244105352,0.0107180793
g610,1.2434224394,0.0105647867
g611,-0.6185528349,0.011202935
g612,-0.6908789072,0.0112825824
g613,0.8595134239,0.0110658064
g614,-0.9090252706,0.011954173
g615,-1.2949909853,0.0120663802
g616,-0.7895679982,0.0115432943
g617,0.6499463026,0.0114742171
g618,-0.4905087394,0.0107707995
g619,-0.760404656,0.0115276504
g620,-0.956552308,0.0109068052
g621,-1.2404119454,0.012246616
g622,0.9297497804,0.0117124423
g623,-1.0784961738,0.0122752208
g624,1.1030913314,0.0122975151
g625,1.0020920378,0.0122991743
g626,0.4177754654,0.0109444607
g627,0.790931179,0.0109567613
g628,0.7854571981,0.0111886429
g629,-0.9651105161,0.0125010636
g630,0.4834431333,0.0112638219
g631,-1.0829995776,0.0123154102
g632,-0.762443259,0.0125753155
g633,0.6739999139,0.0112672212
g634,-1.0004663166,0.0125677572
g635,-0.7320846624,0.0123358097
g636,0.9561533203,0.0111059995
g637,-0.9748695505,0.012716552
g638,0.4711739427,0.0112257265
g639,2.3302861323,0.0116875294
g640,0.5801570932,0.0114983142
g641,-0.7740121103,0.0121650931
g642,-0.6280186383,0.0126175292
g643,-0.501050308,0.0112889678
g644,-0.7895816044,0.0127311164
g645,0.6466383326,0.012160913
g646,0.4207537349,0.0113579055
g647,-0.5099528763,0.0120175599
g648,-0.652253448,0.0130881091
g649,-0.6021269225,0.0122925398
g650,0.5236255885,0.0114193572
g651,-0.6314999637,0.0116520128
g652,0.6477513246,0.0121705547
g653,-1.0826243671,0.0127762561
g654,0.5344202466,0.0114652967
g655,0.5777269225,0.0115280341
g656,0.5905278254,0.0123727865
g657,0.4904373609,0.0117160518
g658,-0.7171076618,0.0130404104
g659,0.4585471627,0.0115087404
g660,0.6621506547,0.0120352398
g661,-0.9990876528,0.0132482816
g662,-0.5197891661,0.0117177402
g663,-0.6553773681,0.0127835369
g664,-0.9432622464,0.0133032998
g665,-0.7694184179,0.0133139511
g666,-0.7159920946,0.0133063568
g667,-0.7290490343,0.0120754924
g668,1.3636235225,0.0119671333
g669,0.8156605649,0.0117423241
g670,0.9708862175,0.0117969914
g671,-0.744022211,0.0133984958
g672,0.5117232233,0.0124499398
g673,0.8035120852,0.0133561495
g674,-1.0261966255,0.013548603
g675,1.3842751407,0.0119053795
g676,-0.6092496813,0.0123892318
g677,-0.9933365084,0.013663212
g678,0.9533992955,0.0131864833
g679,0.5515793348,0.0123051429
g680,0.6181635702,0.0120801634
g681,0.4855196325,0.011994955
g682,-1.1146800217,0.0124987677
g683,0.9150085018,0.0132049732
g684,1.0566724116,0.0124783176
g685,0.8189979852,0.0138184619
g686,0.786544429,0.012482949
g687,-0.4591240206,0.012604446
g688,-0.8856698364,0.0124103729
g689,0.8982419477,0.0135652386
g690,-1.1539214307,0.0139656466
g691,-0.920351787,0.0139714921
g692,-1.1165692087,0.0129724893
g693,0.6136469123,0.0124861325
g694,0.8404392516,0.0124014352
g695,-0.6058064404,0.013758498
g696,-1.0162468405,0.0141569902
g697,-0.5658921081,0.0124602351
g698,-0.8339064798,0.0142094586
g699,0.9740598895,0.0143151659
g700,-1.8122551785,0.0136357493
g701,-0.7311642583,0.0137760059
g702,0.6867851996,0.0124612591
g703,-1.2940581927,0.0139720171
g704,0.6125722792,0.0130264018
g705,-0.8395473112,0.014309595
g706,0.5343661677,0.0125271735
g707,-0.8886766387,0.0144156758
g708,-0.8150858132,0.01442329
g709,0.5214476761,0.0127259235
g710,0.7569574114,0.0135856139
g711,-0.5023462853,0.0131901326
g712,0.6943740384,0.0130411724
g713,-0.887158729,0.014638418
g714,0.41069448,0.0127814322
g715,-0.6531132927,0.0133344519
g716,-0.6310980127,0.013065038
g717,-0.803109905,0.0138854734
g718,-1.2058807234,0.0144533604
g719,-1.0696594756,0.0147080687
g720,-1.45008854,0.01417932
g721,0.5085199168,0.0136094141
g722,0.4467624152,0.0128651122
g723,1.26564747,0.0128681541
g724,0.867087934,0.0128979032
g725,-0.6113212375,0.0129722287
g726,0.6911029782,0.0143776404
g727,-0.6205898623,0.013361516
g728,-1.1118148306,0.0144087481
g729,-0.7010124735,0.0143875485
g730,-0.9385353796,0.0147202965
g731,-0.957784426,0.0148735409
g732,0.5375787512,0.0134546771
g733,-1.1100340351,0.0144982731
g734,-0.6013621498,0.0131736222
g735,0.7225773497,0.0130895782
g736,-3.6128148182,0.0140096563
g737,1.7551059846,0.013508369
g738,-1.0345586249,0.0151985851
g739,-1.1682009606,0.0149927986
g740,-0.8853918915,0.0152508388
g741,0.4737009262,0.0135841245
g742,-0.8065176738,0.0154514432
g743,-0.8770895917,0.015343349
g744,1.2621428451,0.0148505427
g745,-0.7025302656,0.0139740671
g746,0.6885648302,0.0144269017
g747,1.3470899615,0.0134088041
g748,2.2865531501,0.0141705164
g749,1.0372312042,0.0136834747
g750,-0.8699198191,0.0155566462
g751,0.8011228904,0.0134984718
g752,1.1382360444,0.0147329169
g753,1.164807577,0.0136244253
g754,0.8576772256,0.0135741164
g755,-0.5817782453,0.0150179385
g756,-0.5788173243,0.01545191
g757,0.6260830469,0.0144221615
g758,-0.5861321769,0.0139302303
g759,-0.9168951688,0.016067165
g760,-0.8445586743,0.0141658799
g761,-1.2058838328,0.0160775408
