,SRR6450951,SRR6450978,SRR6450960,SRR6450957,SRR6450980,SRR6450948,SRR6450953,SRR6450959,SRR6450975,SRR6450977,SRR6450981,SRR6450955,SRR6450958,SRR6450972,SRR6450947,SRR6450971,SRR6450973,SRR6450954,SRR6450961,SRR6450952,SRR6450950,SRR6450949,SRR6450956,SRR6450976,SRR6450979,SRR6450974
g__Selenomonas,110.02714,0,0,0,0,0,0,0,0,0,0,0,0,0,1696.088612,0,0,0,0,121.5214485,0,0,0,0,0,50.43627377
g__Serratia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.8421599,91.0663874,0,0,112.1704992,0,0,3231.679563,161.9118552,313.1088227,0,100.8725475
g__Shigella,36.67571334,0,0,0,31.5736297,0,0,0,0,0,0,75.06098705,253.2126353,0,34.61405331,0,0,0,0,0,0,136.5498407,0,0,0,0
g__SMB53,0,0,123.2792275,70.50197406,0,0,0,32.89365481,0,0,0,112.5914806,0,0,0,0,34.73548925,0,0,0,0,0,0,0,0,0
g__Sphingomonas,0,0,0,0,0,0,0,0,0,38.76720295,0,0,253.2126353,269.2804826,0,0,0,0,0,0,0,273.0996814,32.38237104,69.57973838,0,0
g__Streptococcus,8105.332649,35429.30099,904.047668,7614.213198,1641.828745,275.9925876,8721.965112,1217.065228,141.4577218,35859.66273,1258.902237,12197.4104,56339.81136,6839.724257,6507.442021,4583.674832,2292.54229,551.9198928,19742.00785,2106.371775,69.19696917,19390.07738,4468.767203,14994.43362,810.2677125,19670.14677
g__Sutterella,330.0814201,2127.885945,13560.71502,13148.61816,31.5736297,72310.05796,39409.04236,26939.90329,2616.967854,14809.07153,106575.0665,18089.69788,0,82722.96424,588.4389062,6678.201742,30775.64347,13561.46022,168.2557487,1134.200186,1626.128776,202503.4137,6249.79761,8871.416643,5866.338238,1160.034297
g__Turicibacter,73.35142669,0,328.7446065,35.25098703,0,0,71.1997152,98.68096444,0,0,0,450.3659223,0,0,0,0,208.4129355,39.42284948,112.1704992,0,0,0,0,0,0,0
g__Veillonella,42287.09748,3830.194702,616.3961373,10399.04117,663.0462238,2681.070851,24421.50231,1019.703299,10291.04926,155.0688118,1438.745414,6042.409458,506.4252706,53.85609651,170404.9844,25437.87755,1181.006634,1931.719625,329052.1593,53104.87301,69.19696917,10195.72144,24124.86642,26301.14111,259.285668,7716.749887
g__Weissella,0,0,0,0,94.72088911,0,0,0,0,0,0,37.53049353,2848.642147,0,173.0702665,0,0,0,112.1704992,0,0,11652.25307,0,0,0,0
g__Zea,0,0,0,0,0,0,0,0,0,0,0,0,316.5157941,0,0,0,0,0,56.08524958,0,0,45.51661356,0,0,0,0
