,D1_rep1,D1_rep2,D2_rep1,D2_rep2,D3_rep1,D3_rep2,D4_rep1,D4_rep2,D5_rep1,D5_rep2,D6_rep1,D6_rep2,D7_rep1,D7_rep2,D8_rep1,D8_rep2,D9_rep1,D9_rep2,D10_rep1,D10_rep2,D11_rep1,D11_rep2,D12_rep1,D12_rep2
otu_485,15.6557,20.8723,9.66249,12.1544,14.1954,14.4177,12.3879,14.4777,18.7809,20.2702,17.0001,19.8931,15.7514,18.0407,8.46019,14.3794,11.4811,12.119,10.2365,10.3537,14.2537,18.9124,13.9484,15.3437
otu_486,14.4524,11.8318,20.5444,15.3396,26.1841,9.66784,15.9643,15.9528,19.6219,13.1817,20.2448,16.6053,13.7132,14.3226,12.3688,11.5352,12.3989,11.9894,21.5424,13.9112,21.2204,13.957,20.7844,14.1125
otu_487,85.4877,89.9784,118.009,132.853,143.135,125.251,162.216,159.753,149.361,144.158,131.454,109.049,70.1876,77.7264,107.05,92.7698,158.361,145.401,160.401,167.817,174.085,163.784,145.714,146.08
otu_488,11.6121,12.5413,16.7556,12.2832,21.5089,12.7789,22.3496,15.2174,20.0071,12.8545,7.02917,11.1263,15.0975,12.8656,18.0658,14.2615,17.842,21.9396,20.7889,20.6878,22.3472,17.364,12.4708,11.1565
otu_489,16.3896,25.7055,32.6148,32.9472,24.0551,32.9727,20.6853,28.7738,11.9426,18.3837,11.4703,15.1754,19.8108,23.4971,35.4669,39.4917,25.1366,32.1387,19.2519,28.9753,12.4355,14.7321,10.4714,16.1059
otu_490,15.1173,13.2074,23.5904,23.0595,28.5231,32.9946,20.5367,16.467,42.5802,33.3058,23.9947,23.3366,16.9164,11.308,23.6323,21.0769,27.3847,21.4153,18.1748,17.221,27.1936,25.8169,27.0643,18.259
otu_491,38.2232,44.3828,38.9382,36.005,44.7041,37.6178,44.523,47.8684,52.892,51.9748,46.1563,48.3741,28.3844,35.5931,28.5996,25.3015,32.6718,32.4378,30.1035,34.7688,46.543,46.3449,42.8011,43.626
otu_492,57.6826,69.455,30.7216,35.7451,37.9975,39.1282,38.0663,40.5236,76.8963,81.4803,103.784,122.328,78.7117,73.2096,25.283,23.2779,27.9117,37.6346,22.1691,23.0656,54.6075,61.7007,71.4485,74.7183
otu_493,0.769208,0.499902,3.91239,3.64548,14.282,9.86575,4.76316,3.0478,6.43172,3.22248,2.86537,1.41077,1.45991,0.440693,5.59914,2.37032,12.1906,7.19353,3.4482,1.9965,2.72261,2.17208,2.07164,1.54683
otu_494,25.059,24.5531,19.514,28.472,19.2384,27.4542,13.6014,18.3691,16.148,29.6234,21.67,29.1423,18.1419,25.2453,20.4782,29.4536,15.2541,27.439,17.5517,18.564,16.5841,22.7107,19.4134,28.5009
otu_495,12.7292,12.6661,43.3201,36.4107,58.4694,63.5027,64.9219,53.8799,23.9657,20.6427,20.4143,19.2126,7.0861,9.6313,35.0889,36.7354,65.6488,61.9943,62.8565,63.7182,25.9343,21.2097,24.557,22.4809
otu_496,41.8868,59.4339,22.6811,22.1739,19.4338,20.4555,37.574,47.9367,15.2839,19.1609,30.0481,35.9847,63.1204,74.713,32.0848,57.6937,22.3625,36.5879,55.4003,92.3427,20.6604,18.1918,20.1894,30.6618
otu_497,309.914,296.156,194.839,218.977,146.75,143.136,216.091,235.925,320.166,286.274,265.068,266.341,243.403,294.047,147.117,133.484,153.031,148.381,201.901,206.734,301.273,295.053,270.136,241.708
otu_498,21.1504,22.1621,42.1309,34.3573,32.7028,35.9107,26.6181,29.8072,26.4545,25.8096,19.8801,18.5618,18.7844,16.52,36.2108,29.0997,41.2307,30.1023,20.8051,24.2715,31.0484,30.2477,18.991,19.6295
otu_499,36.526,34.2092,18.1443,24.322,18.6782,17.4973,30.059,36.326,20.4236,26.019,28.4226,33.3314,38.1714,39.8701,16.7231,20.182,22.5303,26.3249,41.7874,35.9593,25.2721,29.7664,33.5484,39.1752
otu_500,1.99635,2.77784,29.5903,24.4057,25.1414,27.2848,11.9833,9.9869,19.2361,18.0689,10.9803,9.28629,3.61802,2.53881,24.8352,15.4551,20.1006,16.2933,4.83827,4.8453,10.0526,11.6787,3.59209,3.81213
otu_501,17.6034,19.544,6.06629,5.23058,4.37615,3.72465,6.40072,6.91866,4.62197,7.17743,7.30491,7.77562,18.5357,15.455,7.16482,6.70484,4.56786,5.79396,10.5908,6.01696,9.38506,9.96155,6.03003,7.90887
otu_502,13.4976,17.1077,9.92401,17.8172,26.0392,42.8426,11.5471,11.3542,15.1198,18.7426,20.9142,32.0649,18.0562,15.0421,18.2075,21.8306,22.0055,31.9842,17.305,20.7883,11.2579,11.257,14.9896,15.5405
otu_503,4.55668,5.14875,22.6138,21.9522,31.5016,37.215,19.5031,25.9044,9.75275,10.875,4.92108,4.9677,4.79643,5.75685,31.5528,31.4017,39.9215,34.8376,23.7914,26.0696,12.7637,16.2482,5.59171,6.97833
otu_504,7.54697,8.42857,25.9975,24.8028,36.9308,33.2876,22.4596,20.899,7.63587,8.99099,7.25147,6.8153,7.34477,8.03069,27.6708,30.6332,36.1962,29.3022,17.0583,15.0446,5.35485,5.00985,5.30761,4.8207
otu_505,13.0763,11.9057,7.83698,8.04318,5.52966,5.61032,7.55389,6.26192,7.72674,4.73988,11.009,11.7624,13.7016,14.0971,9.43521,9.35848,7.63683,6.07695,7.8445,7.57924,7.16982,6.68338,11.8423,11.3727
otu_506,96.6002,104.506,81.0169,94.641,103.142,161.266,113.913,136.123,133.17,144.197,101.866,127.45,63.9335,91.7927,61.2534,48.9271,71.4125,70.6628,56.1817,75.8319,105.988,135.481,113.594,126.736
otu_507,20.8104,29.62,6.92124,4.81026,6.94085,9.77835,6.66262,9.09305,2.11648,4.15802,4.78041,6.73921,18.1463,22.7704,12.3307,15.4562,9.56281,18.4558,16.1971,17.2421,3.3177,4.13104,7.94529,7.46331
otu_508,39.8004,23.9299,25.1352,24.6267,25.3843,23.6805,28.8278,31.3442,55.8899,38.3569,55.7265,41.6462,47.2844,31.1265,34.1468,21.2779,29.6067,24.4558,50.2152,36.6503,60.5908,43.6581,70.4424,40.3944
otu_509,0.841441,0.756292,26.5198,22.9948,20.3593,21.7576,9.48548,8.70871,2.52884,1.59864,0.991332,0.404039,1.29939,0.694403,29.8019,25.4944,29.101,25.2403,11.3708,11.513,3.1839,2.85579,1.19163,1.46182
otu_510,18.463,20.2836,18.5468,18.6888,30.8781,44.1049,37.9791,42.0489,12.5755,13.8193,6.06227,4.43348,10.9015,14.1161,15.1819,16.6248,30.7364,31.9068,35.3654,39.7248,20.3913,19.2908,10.4726,9.66632
otu_511,1.41376,0,1.35133,8.24209,13.9947,19.4701,3.24171,6.45524,37.8437,43.1507,21.0041,26.1422,4.341,2.56129,1.96153,2.80526,17.1206,13.0995,6.55979,3.49575,26.6053,30.3076,11.5553,12.0689
otu_512,12.0071,13.9745,15.4358,9.50286,14.9503,20.2076,8.68528,13.3144,7.25693,7.74011,4.23225,4.2145,9.07823,14.5542,10.7946,9.3199,10.5163,8.63367,5.20646,5.63799,5.32832,5.07665,3.96388,3.72463
otu_513,4.99432,5.37882,8.49076,7.0386,0.967085,1.80312,0.651503,0.389361,0.619373,0,0.980661,1.19161,7.75633,3.77505,14.8162,13.8993,2.53859,1.1005,3.37743,1.95529,1.01805,0.409563,2.58233,1.21491
otu_514,30.4183,37.572,22.9361,22.3824,6.28823,11.5682,5.78317,7.48253,5.42756,11.1927,8.95264,10.4252,24.4325,32.4996,15.993,19.1399,8.44355,7.71931,2.86746,4.34213,5.82827,8.09358,9.08461,12.048
otu_515,91.7924,78.2758,592.706,597.651,211.263,199.998,127.29,109.001,156.751,131.822,130.902,118.645,85.8487,83.9592,626.291,640.788,282.618,305.166,148.046,128.1,130.588,134.939,99.3742,86.2144
otu_516,13.1897,12.4679,6.35342,6.16703,6.52387,4.50034,6.91729,8.39104,8.30804,9.77307,10.9057,10.5714,10.686,12.8595,6.72143,6.95353,5.34932,5.52037,8.0931,9.21547,6.32752,7.93282,8.16842,10.9235
otu_517,11.4758,18.3005,9.24189,11.8527,16.8513,19.8661,10.9777,18.5833,54.584,60.8847,50.1159,65.7473,15.6497,19.9846,8.71677,10.3059,10.3008,21.5018,11.4289,16.337,36.2385,46.646,35.7073,45.0208
otu_518,42.5307,43.2951,49.5555,45.8588,49.9815,52.7008,51.4465,52.7791,50.2269,56.1965,36.1012,32.0048,27.0844,32.254,39.6801,32.1768,40.7466,36.6872,34.4414,35.0197,44.9702,48.1512,38.4424,35.7534
otu_519,134.105,160.649,34.854,29.1396,54.9223,66.3274,29.7291,53.5376,219.982,201.125,146.172,118.802,79.9614,96.5146,11.1884,3.56472,8.87537,3.06427,1.97063,5.50747,75.3963,158.868,46.676,57.1288
otu_520,0.703404,0,1.66633,1.2256,3.50756,7.97996,4.19054,0.823861,1.42446,0.158735,0.309567,0,0,0,1.00849,1.61727,6.56832,11.6133,13.59,12.0368,8.0082,7.47519,1.01774,0.759678
otu_521,55.01,82.7777,29.8033,56.8809,32.0456,79.4322,39.6719,59.1895,84.4716,117.658,74.9797,127.515,58.3882,91.1106,32.9774,55.1088,44.5395,78.6035,49.5096,76.8377,70.7929,106.933,66.9192,112.686
otu_522,168.72,153.415,113.266,95.6352,117.051,125.944,99.8007,106.493,191.437,177.381,173.874,153.234,169.812,157.12,123.494,103.94,112.239,92.9009,97.0162,94.4373,175.117,157.489,151.981,118.965
otu_523,21.7409,30.0928,13.7812,20.2696,6.74075,13.2234,7.56477,8.1054,9.14924,13.2432,17.482,19.3061,23.8269,33.8195,17.6945,25.5288,8.31165,12.6577,9.11648,8.36862,9.32039,10.4779,15.1797,14.9785
otu_524,226.699,241.138,131.718,225.734,221.77,346.752,102.109,203.402,189.608,267.684,65.7655,82.2815,221.778,294.875,115.406,208.276,182.646,158.535,62.7107,109.399,126.327,142.091,101.995,108.307
otu_525,10.6806,6.66453,8.08292,6.97508,4.50348,4.57499,11.5231,9.40652,2.31689,3.31186,3.09905,3.04519,5.12745,6.8212,8.10839,10.7746,5.69503,5.34482,14.2813,12.0616,4.9648,2.75592,4.62322,4.69941
otu_526,9.71519,9.31744,18.3691,17.7971,16.5283,25.3962,20.3391,22.1317,15.1661,15.9459,9.68742,12.8798,14.5689,16.0694,19.859,18.2666,23.8099,27.8759,22.0923,23.096,21.4553,19.4348,11.6515,16.4283
otu_527,232.446,248.782,460.462,389.753,212.192,178.59,151.881,153.302,53.3218,54.3154,63.2677,53.2959,198.23,185.323,529.21,517.914,273.115,190.231,137.551,136.397,94.3686,71.8485,56.158,64.034
otu_528,12.7347,12.7783,15.9259,19.4954,15.8214,16.3277,22.5794,18.9327,12.9932,16.5385,38.8572,47.226,32.913,26.8911,21.834,24.025,13.1335,21.3197,18.9174,19.2864,10.2279,10.9198,22.3766,23.9555
otu_529,21.1091,20.7025,7.4505,6.97168,5.70961,6.22781,12.3181,13.3524,12.2055,15.7375,24.3889,24.3444,19.2296,23.2881,6.52532,7.14238,8.22029,8.63465,12.5736,13.4432,15.8975,15.5391,20.5581,22.1602
otu_530,195.256,201.8,322.836,252.248,61.2911,58.5599,78.5864,55.1515,88.5346,103.801,45.2039,45.8813,118.533,175.554,301.343,293.504,81.4982,74.5156,66.4776,48.8579,104.617,110.761,80.7542,71.0762
otu_531,159.585,168.016,36.8552,31.4669,32.5931,43.3002,56.4353,56.2446,74.8847,96.2095,98.8922,126.522,182.433,165.463,51.5961,45.2011,41.3087,37.1087,40.1503,48.2736,70.1792,81.4192,83.4838,85.4094
otu_532,1.33716,1.83152,7.41485,9.67097,9.16968,11.0337,7.84803,7.66317,6.48606,7.08455,5.30999,5.77676,1.99417,1.8401,7.25892,6.78061,11.3181,11.6946,6.12151,5.61509,7.02979,6.27133,3.44843,4.14902
otu_533,52.6366,94.5842,55.4758,54.9444,83.6503,66.5172,68.1924,44.1981,74.4775,66.9802,422.588,472.135,358.168,228.859,79.4684,74.9299,54.9584,62.7972,39.5387,37.7446,49.0478,42.8599,162.146,156.605
otu_534,55.6966,55.7659,3.71232,3.45529,1.15275,0.890884,1.25641,1.09459,1.61748,1.21605,5.31418,3.94642,65.02,57.7043,4.98984,4.04053,1.23349,0.556238,1.53113,1.48067,1.90898,1.70853,5.44688,5.52909
otu_535,34.5788,31.2252,20.2366,16.8589,11.7436,7.09672,6.11223,3.87225,0.949059,0.556956,2.85809,1.58035,45.3525,32.7806,24.8466,21.0996,10.4742,13.3333,12.6565,7.1948,1.6732,1.82589,2.16391,2.75858
otu_536,11.518,15.3417,10.9321,13.7166,12.5364,21.3112,10.2006,13.8324,11.8708,16.8919,6.28405,10.784,11.5474,13.8292,13.5766,15.1961,13.5652,16.3419,9.49156,12.7263,11.4361,13.4231,8.89231,9.15792
otu_537,6.58849,7.16816,16.6145,16.3895,20.3763,19.2563,6.35279,5.95435,34.2464,29.2171,31.3642,27.8718,6.11555,4.57755,7.44319,3.35599,7.93488,2.86996,1.09462,1.16425,12.0459,16.0776,13.3562,11.8048
otu_538,10.2421,10.1117,8.01911,12.2979,9.33111,21.6658,8.2638,12.6736,9.26185,14.5862,7.62833,13.8049,8.29894,9.80779,6.56428,9.42226,9.47006,10.9618,6.18373,9.02079,8.21401,12.7335,6.73658,12.0696
otu_539,15.3069,15.858,25.4783,21.437,23.9923,17.1486,28.9949,26.5288,21.6168,20.8243,20.1866,15.0743,11.7616,14.669,15.2205,14.65,21.056,17.1699,22.475,23.0013,21.4662,21.7253,21.5151,20.295
otu_540,67.5878,68.0111,65.0079,69.9032,60.4141,65.4445,67.4122,70.795,86.7961,76.8043,71.3481,82.5532,92.4767,79.842,77.186,64.0833,63.6426,69.3771,71.3079,62.1477,81.0392,80.5154,70.2977,69.977
otu_541,1.94983,1.90626,12.0822,10.3756,10.9779,9.26894,7.00063,7.4644,2.14416,2.34135,1.54336,1.20401,2.48854,2.16067,15.655,12.5224,13.5716,10.9196,7.62514,9.60543,3.52309,2.92864,1.59475,1.56041
otu_542,40.8127,41.569,64.3585,61.7618,75.7529,69.1198,81.1108,76.8373,55.5446,62.4085,45.6883,44.3048,28.8662,35.0632,47.1377,45.8476,69.9144,60.5143,55.3164,72.4842,64.8621,71.0773,54.3274,59.2832
otu_543,37.9817,59.8482,99.6206,77.7236,120.31,108.496,76.9054,116.581,74.6808,73.6186,31.3754,44.3059,38.6181,45.7617,91.5834,83.4476,97.2253,78.696,58.7884,72.6404,74.0358,70.497,32.2444,38.3566
otu_544,11.9064,15.629,29.3785,29.8313,29.4067,24.4753,26.0166,21.45,26.083,23.3961,21.9946,17.223,18.4421,14.0365,31.8455,35.4816,27.8669,23.1698,21.3329,19.3237,26.2234,29.8584,19.2075,17.9927
otu_545,5.01871,4.79435,20.7914,26.8235,19.8299,26.4311,11.1701,13.9709,25.9729,27.843,18.856,21.5168,1.78703,3.02425,13.9049,15.9279,19.6428,18.0384,5.73378,6.80262,17.7251,22.1368,20.3288,22.4013
otu_546,330.888,461.671,124.712,164.265,136.548,150.809,134.024,198.615,337.958,470.561,444.819,589.135,318.219,417.544,111.21,162.339,119.256,151.672,116.716,173.652,279.789,375.019,326.286,440.389
otu_547,31.9141,27.8216,28.9422,26.6632,35.8544,39.5255,32.1297,34.8154,35.5043,35.8638,37.4079,39.7559,42.0497,32.3122,29.4792,31.1,37.332,43.1626,41.2618,35.976,38.6284,33.436,36.4458,31.2513
otu_548,13.6265,14.0309,6.10218,4.01526,5.05827,4.15526,7.06058,8.42338,2.24382,3.61053,3.19023,3.14105,16.012,7.15614,6.91903,6.61223,3.53545,3.33423,5.20999,4.74028,4.27061,4.86349,3.28949,5.00297
otu_549,3.15137,4.71089,17.5246,13.1465,7.80486,6.99231,8.51308,7.87726,2.33147,2.52418,1.1737,0.785873,5.41575,3.60439,22.6955,22.8935,6.13297,7.56077,9.91939,11.0907,2.9261,2.19104,1.88542,2.58325
otu_550,26.706,26.6803,48.6471,48.41,32.1636,27.2834,26.4673,27.0663,15.2179,14.4247,13.631,11.3359,32.5023,26.3978,53.2363,56.439,45.7604,44.6913,38.2932,35.1469,23.4638,22.3896,21.8876,21.642
otu_551,26.8889,21.1733,33.2506,30.7059,19.0601,15.9679,17.6413,17.2808,28.9921,27.2215,29.9302,27.2378,19.1381,22.6187,20.38,20.5129,15.3467,13.5154,12.6389,11.994,22.5112,24.4195,28.2231,26.5055
otu_552,26.2569,39.3215,29.3306,32.7541,15.9756,34.206,34.2207,43.4569,7.23881,12.2214,2.10712,1.22199,16.3298,21.507,32.2025,38.9278,22.7015,42.4458,43.974,41.9363,24.5876,21.8209,11.6199,12.2585
otu_553,10.3718,13.4113,5.43943,8.87358,4.52803,7.90003,5.34033,7.22361,6.47333,10.2092,8.76576,8.63281,11.5063,9.79285,6.7693,9.58361,4.97867,6.98965,5.61077,6.13685,7.75353,10.7769,7.40016,13.1753
otu_554,13.1726,20.0985,7.41869,8.0393,4.70099,3.77374,7.91145,5.63879,3.61955,4.4983,7.28313,4.73892,14.7712,17.6164,7.81627,7.94304,6.70097,7.16396,7.6466,8.61444,3.32238,3.21236,5.58674,6.49901
otu_555,4.80256,5.83341,6.54404,6.45993,4.30861,3.09155,4.84009,5.6443,9.4471,8.47495,11.5496,8.50424,9.65202,7.15967,5.16825,6.65433,6.17187,5.06223,8.40457,6.58558,7.61461,9.81952,12.8825,11.4474
otu_556,3.54197,4.74549,8.2153,6.99923,19.0788,16.1173,12.4201,10.1747,9.95632,10.6629,6.5363,5.39995,3.51812,2.71999,10.8693,9.89848,23.8929,21.049,10.9054,13.6988,10.6788,9.27028,5.23027,5.73894
otu_557,0.220963,0.241014,8.46089,10.8538,57.4653,64.6238,3.96226,3.59646,0.496567,0.618963,0.294068,0.33246,0.0597617,0.386897,7.75283,12.8084,66.1412,70.7535,2.10268,3.035,0.655689,0.429779,0.1406,0.521289
otu_558,19.442,15.0185,14.0284,16.4967,11.1613,6.01229,8.27624,8.3192,13.0015,12.7626,23.0708,21.3899,14.7842,17.9385,11.2139,14.6046,7.46734,12.1379,10.3812,9.77934,16.1401,15.5004,21.7937,23.9734
otu_559,44.1549,48.7494,84.3753,67.1517,47.8434,64.5623,132.684,113.997,48.1115,46.6428,24.6131,20.1827,28.0025,34.2954,70.3472,80.2682,66.2737,84.0584,164.537,111.996,108.541,77.0452,44.4712,41.2229
otu_560,26.8884,25.2986,21.2858,18.7244,24.4197,16.5052,20.8217,18.3755,17.2579,18.3623,32.0517,32.9747,29.9471,23.5472,21.6496,19.5754,22.0442,17.477,19.713,17.226,14.7225,13.092,24.9733,25.7682
otu_561,13.2983,11.8463,12.5848,13.4101,14.1015,16.0847,10.4858,10.6491,14.6712,18.1872,11.3294,9.15744,21.7301,19.0201,13.7152,10.6098,18.3971,14.3992,8.88616,7.36223,11.9825,11.1476,8.91996,8.63341
otu_562,11.3901,10.1207,25.7601,31.0564,13.4829,9.36129,9.30639,8.81618,7.37943,12.7044,18.0737,16.0512,15.608,10.4725,22.8713,24.9424,6.91899,6.8608,8.58169,7.75492,6.02874,5.4234,4.99279,10.5403
otu_563,1131.11,1271.22,771.758,1038.28,689.764,1268.13,629.858,788.584,828.665,950.078,739.334,1009.97,1012.1,1324.17,786.647,938.976,668.039,891.947,537.353,608.592,694.946,816.028,807.54,822.275
otu_564,8.51049,11.6837,14.7627,16.7046,5.9153,5.1663,4.84828,3.84472,4.83877,4.84034,7.15056,8.15712,10.7497,12.0115,15.6375,16.1379,6.35976,7.66308,5.80766,8.77813,6.49857,4.80936,7.23608,9.64549
otu_565,78.2713,76.4306,2.18957,1.39893,0.14977,0.209536,1.5928,0.790447,1.3706,1.89179,7.30376,13.9886,89.6313,107.743,1.39824,1.46079,0,1.29228,2.65843,1.54716,2.34489,2.47627,9.96426,8.22783
otu_566,16.0894,12.1274,6.45596,7.78635,6.29734,6.56576,8.39381,7.0639,12.0455,11.3312,32.9201,33.0686,27.0422,21.1277,11.5315,11.84,8.43774,7.41263,8.64957,8.69863,6.98871,6.70114,24.0739,20.8363
otu_567,4.99105,5.27141,10.1032,10.6731,12.2284,20.5524,7.61001,10.3218,10.1144,11.3589,8.18227,8.02884,2.7909,5.06534,4.34672,6.60729,11.7158,10.7429,5.81644,10.5809,9.33656,12.1537,6.41354,5.48591
otu_568,1.81299,1.88476,12.8459,14.2978,5.02131,8.5883,2.15899,2.64559,0.539145,0.771961,0.321707,0.197675,1.06201,0.751175,20.4356,26.1322,5.15707,3.96204,1.97074,3.7068,1.20421,0.601986,0.686066,0.30778
otu_569,10.5515,13.3085,8.74774,9.27387,6.10942,8.32076,6.17059,7.68802,4.54483,5.69432,5.74125,7.37449,10.3421,12.3497,8.33877,11.7906,8.65335,9.71864,6.32967,6.75252,6.06216,4.20696,5.50853,7.23134
otu_570,57.6443,52.3927,48.0476,52.6072,41.6573,42.6594,41.1172,33.3944,47.259,42.3933,45.9831,42.5548,58.426,51.5707,45.803,55.4628,48.7172,41.3185,32.4355,32.4214,41.5515,41.3474,50.5093,42.0941
otu_571,18.8141,13.2957,23.2912,32.3324,17.3383,31.5502,11.5348,12.9509,14.0053,21.0532,10.4426,17.3242,12.8417,15.2724,38.2205,29.7906,18.0554,24.5988,8.52017,9.75366,11.1663,15.0082,16.4797,11.3572
otu_572,101.443,92.4378,9.34912,10.5904,2.57612,1.86637,7.78402,7.52636,4.61893,4.87052,34.5893,41.8444,139.716,132.084,12.8643,13.1942,1.47153,4.24544,15.4997,15.0038,5.00084,5.63437,24.4039,32.779
otu_573,14.194,11.8691,8.2795,8.11311,4.81102,4.78373,8.12836,8.75536,7.37249,4.7453,15.0871,14.3876,17.7692,16.2206,5.86454,6.96913,8.50194,7.02474,13.2665,10.1099,6.80731,5.59549,14.3825,14.7299
otu_574,735.689,578.376,703.926,600.922,969.277,1186.42,889.55,770.298,1272.03,1141.2,748.437,671.45,633.699,483.761,713.693,650.941,810.377,670.501,578.995,510.37,1035.9,926.294,842.976,840.898
otu_575,2.18984,2.98961,5.32232,6.67691,8.95676,10.1221,8.20629,5.03515,5.83761,4.29254,24.482,26.26,12.3019,7.36626,9.47233,11.158,5.06029,8.25092,5.83609,4.82602,2.7925,2.7212,11.6075,9.24405
otu_576,7.55293,6.13629,14.7377,9.35258,16.2045,11.1466,5.73452,9.9102,8.64948,10.6964,2.4432,1.94443,9.02654,5.07856,10.061,6.84332,14.8989,8.5291,8.55846,6.15381,5.8955,4.37846,5.23425,5.90065
otu_577,21.8969,19.8034,15.3958,13.4156,14.5491,12.9168,11.3803,13.27,20.6663,18.654,20.0703,19.2695,22.9725,21.7884,14.4625,18.327,12.9683,17.2115,13.918,14.349,14.3291,16.4886,18.899,20.0177
otu_578,9.14399,5.46056,9.2827,7.91437,5.94101,5.3971,9.99845,5.14876,3.41209,2.7972,3.37828,2.53553,8.41302,4.38744,10.294,7.15276,8.28901,4.72254,8.58248,6.861,4.26928,3.49012,6.30637,2.95111
otu_579,23.4263,15.8682,37.8348,29.9797,28.7186,28.3259,24.7122,21.0231,30.6146,25.6584,24.1956,24.1864,25.3557,20.6923,43.2721,35.1047,31.799,27.3016,32.249,23.8167,32.0778,29.0078,26.764,22.574
otu_580,3.54265,9.69424,3.55264,4.09529,1.42481,2.20962,1.10254,2.33401,5.18198,2.95802,8.03381,12.6351,14.9471,16.3078,3.46999,6.55239,0.828276,2.63079,5.31192,3.98068,4.15219,4.41337,4.88782,5.68396
otu_581,20.7816,23.102,6.5576,7.80409,5.30787,5.26697,5.90228,7.59994,9.43858,12.1937,9.02702,9.88342,22.0857,25.2411,10.6549,10.1957,4.21032,5.44542,7.11126,7.89129,9.60739,10.6729,9.1207,10.9259
otu_582,16.2294,15.9871,17.2141,15.9083,20.5023,20.8389,19.5383,13.8868,28.6898,18.2101,21.3886,19.4423,28.0695,17.7614,25.6913,18.4372,28.9221,18.1631,20.03,11.8232,24.8928,16.7139,18.9162,17.7435
otu_583,0.947079,1.63575,7.47888,5.9433,11.143,12.357,7.40148,7.39272,1.7017,3.77501,4.28344,2.89339,3.0665,0.511694,4.72844,5.112,12.327,7.55639,4.07378,3.73545,4.87239,4.72282,4.14539,3.56077
otu_584,1.76604,3.09383,14.6658,11.3166,11.3475,12.6872,7.11928,7.45521,3.13435,2.66998,0.772053,1.964,2.22549,2.93279,16.3408,14.3124,15.9935,12.0124,6.90647,10.5368,3.94202,3.18949,3.41019,2.15465
otu_585,7.10008,4.51058,1.25576,1.62394,0,0.413775,1.70636,1.00437,0.212468,0.157368,1.00686,0,7.43742,7.80035,1.4437,1.24569,1.50177,2.30667,6.86046,8.39679,0.283701,0.710826,1.18892,1.5495
otu_586,114.971,144.728,12.0936,11.8706,0.368785,0.982608,2.95456,3.7778,0.414407,0.10425,0.989708,0.979015,126.595,119.601,36.1688,37.2111,5.03961,3.53067,9.95735,6.36361,0.567365,0.198461,2.22856,3.64115
otu_587,27.7574,23.8001,12.6253,10.236,6.43609,6.38415,8.56162,8.02099,9.41272,9.76018,12.5413,14.6143,28.6648,24.1263,10.6397,13.5653,8.68571,7.77156,8.6425,8.56637,11.776,10.9193,15.3566,15.476
otu_588,1232.24,1482.47,396.357,494.673,89.4502,135.426,203.248,207.961,100.045,111.683,69.8181,85.196,1022.47,1242.19,504.059,613.729,118.882,186.578,291.745,245.538,197.844,130.646,314.821,411.925
otu_589,23.5607,22.3262,19.4906,12.3156,17.1909,26.5584,17.1378,16.7609,38.9957,36.0391,38.4258,28.3614,31.9461,17.3041,26.0067,13.5167,20.8576,16.0347,24.7052,17.4247,32.4387,26.9834,32.5529,23.9047
otu_590,15.9978,17.6821,11.3833,11.7366,18.2234,18.3335,21.0999,17.2395,22.2221,21.8451,19.7985,18.5823,13.5415,13.0796,11.4153,9.19832,12.2564,12.2152,14.7908,13.8343,19.9734,19.6574,17.2055,18.8585
otu_591,4.91996,2.40247,10.7618,8.67529,11.5225,8.58244,7.28772,6.42343,8.73831,7.86294,11.2899,7.03114,3.28089,3.82434,8.35744,8.81114,7.71361,7.61834,7.22745,8.14116,13.0812,16.6289,11.9095,8.85624
otu_592,13.6358,15.3022,66.3369,47.814,68.7914,64.0475,57.7687,50.4634,25.9755,19.7776,8.70443,10.2499,12.3741,9.13993,66.201,46.7077,66.546,49.7611,31.7009,45.8322,38.9158,27.3323,12.9172,10.872
otu_593,7.23955,7.1305,3.26212,3.52329,6.44979,4.68262,8.56951,8.06094,8.98279,9.34094,9.83155,10.7624,5.47374,6.85186,2.77431,2.95142,5.89381,5.51144,8.69655,7.65492,8.79567,8.62486,8.78112,10.9797
otu_594,7.47034,11.3419,8.87993,7.59859,2.9822,4.87264,12.8838,10.3023,3.55473,5.74237,10.03,9.1679,16.767,12.3777,21.5362,32.4903,7.31122,9.60529,32.8583,20.933,6.39926,4.68961,10.4597,8.91895
otu_595,57.9334,60.6895,53.1081,53.1071,54.3974,48.9084,60.548,77.4114,85.4359,97.3549,104.776,110.589,58.24,63.6827,54.118,65.3016,62.7583,63.4703,79.8146,69.0901,81.2664,86.9503,100.047,127.579
otu_596,17.0085,17.2355,15.4637,11.1951,14.7268,18.2777,13.1771,13.6331,11.6108,14.1693,15.5359,11.1695,19.091,17.0429,14.6249,14.6974,15.978,16.4513,16.0251,17.4112,10.415,9.75423,10.0418,11.0852
otu_597,95.8161,129.53,108.417,151.543,95.3698,157.052,91.3122,135.699,80.2621,117.396,73.1607,109.798,93.1466,121.187,99.8887,142.816,102.208,139.841,85.556,119.91,90.9484,110.959,86.7486,126.397
otu_598,36.6999,36.7642,56.9801,51.1057,46.0693,46.4447,55.8329,47.8629,30.8089,27.8033,22.7916,27.7827,31.2865,31.2162,56.7438,71.7332,53.5554,65.8441,83.1115,61.8323,39.0256,31.5454,33.1892,31.2576
