,D1_rep1,D1_rep2,D2_rep1,D2_rep2,D3_rep1,D3_rep2,D4_rep1,D4_rep2,D5_rep1,D5_rep2,D6_rep1,D6_rep2,D7_rep1,D7_rep2,D8_rep1,D8_rep2,D9_rep1,D9_rep2,D10_rep1,D10_rep2,D11_rep1,D11_rep2,D12_rep1,D12_rep2
otu_11,37.2455,31.5855,11.086,5.83772,4.97617,2.18826,6.75691,4.7436,5.14473,4.20799,14.3401,11.8844,35.941,32.6361,17.9305,19.3707,9.30391,11.6207,14.5967,13.815,15.8648,11.8013,18.8859,19.295
otu_12,20.789,21.7869,23.1034,25.5359,24.4188,33.7331,19.2503,24.5637,24.4256,25.7806,19.8603,21.9836,27.3726,29.3898,27.7791,24.1423,23.3984,15.028,17.1094,18.4968,24.2613,25.0359,17.5489,23.0218
otu_13,3.57269,3.24619,18.1109,12.5551,14.9363,11.0681,11.9978,12.3164,4.72115,6.32344,4.04929,2.63245,5.2203,3.80079,23.27,13.4323,21.5431,14.6557,11.9099,11.8036,8.04534,6.30073,4.36043,4.45913
otu_14,14.8812,15.5977,21.3501,21.2445,28.0273,29.8294,32.8349,27.6459,43.5614,33.9137,21.9684,18.8334,13.1247,15.8083,24.1351,23.1769,26.9705,20.7595,30.4662,27.4995,37.6682,31.616,30.1591,22.981
otu_15,10.6827,10.7515,2.12988,1.88362,4.44062,4.18243,7.70822,6.72053,3.20985,2.31212,2.28674,4.13477,6.12923,7.37482,2.40596,3.1353,4.94286,8.40388,12.5296,10.7602,3.1656,2.47192,5.07471,2.88048
otu_16,39.4258,41.3801,13.393,14.1641,10.451,11.1826,12.0375,16.5784,29.4047,25.3243,37.7641,39.5388,31.7327,43.1634,16.3949,15.2632,8.55214,12.1782,15.685,12.1384,28.0686,24.664,36.3678,25.1077
otu_17,85.467,63.0724,75.4095,59.1634,77.3429,63.2871,77.7899,59.4908,90.9412,58.9866,74.5316,61.3877,58.202,54.4684,55.7371,44.9537,63.6418,45.8077,58.7998,48.7291,78.1617,63.6533,79.4601,57.6671
otu_18,24.9424,26.9634,6.57134,7.52367,3.3297,4.12174,1.45036,1.68447,10.5513,13.4947,21.0954,22.5016,29.3051,25.7935,5.37338,5.18247,2.83011,3.2489,2.53887,2.8965,10.2276,13.3391,11.3235,12.3006
otu_19,71.7204,82.987,44.0368,44.1157,55.8046,95.0936,56.5551,79.5395,75.1041,96.5122,58.2328,81.5522,58.1874,78.0269,53.2036,47.8221,52.7331,74.4554,55.5939,64.1131,69.9219,88.0055,70.2998,84.6104
otu_20,8.20305,10.1606,8.8563,6.15272,6.40345,5.05076,3.8582,8.26484,1.19173,3.73933,3.4049,2.70041,6.24207,7.07152,10.7357,8.5949,6.63651,6.65671,6.09966,5.62112,2.54414,2.4167,3.06597,2.52158
